Files already downloaded and verified
Files already downloaded and verified
Epoch : 0 Iter : 0 VAT_l_f Loss : tensor(2.3120, device='cuda:0') Meta Loss : tensor(2.2901, device='cuda:0')
Epoch : 0 Iter : 100 VAT_l_f Loss : tensor(2.0625, device='cuda:0') Meta Loss : tensor(1.9663, device='cuda:0')
Epoch : 0 Iter : 200 VAT_l_f Loss : tensor(2.0833, device='cuda:0') Meta Loss : tensor(1.9318, device='cuda:0')
Epoch : 0 Iter : 300 VAT_l_f Loss : tensor(1.9871, device='cuda:0') Meta Loss : tensor(1.8503, device='cuda:0')
Train accuracy : tensor(0.3750, device='cuda:0')
Test accuracy : tensor(0.3700, device='cuda:0')
Epoch : 1 Iter : 0 VAT_l_f Loss : tensor(2.2956, device='cuda:0') Meta Loss : tensor(1.8126, device='cuda:0')
Epoch : 1 Iter : 100 VAT_l_f Loss : tensor(1.8626, device='cuda:0') Meta Loss : tensor(1.8240, device='cuda:0')
Epoch : 1 Iter : 200 VAT_l_f Loss : tensor(2.0449, device='cuda:0') Meta Loss : tensor(1.7456, device='cuda:0')
Epoch : 1 Iter : 300 VAT_l_f Loss : tensor(2.0713, device='cuda:0') Meta Loss : tensor(1.7195, device='cuda:0')
Epoch : 2 Iter : 0 VAT_l_f Loss : tensor(2.0529, device='cuda:0') Meta Loss : tensor(1.7192, device='cuda:0')
Epoch : 2 Iter : 100 VAT_l_f Loss : tensor(1.9746, device='cuda:0') Meta Loss : tensor(1.6822, device='cuda:0')
Epoch : 2 Iter : 200 VAT_l_f Loss : tensor(2.0442, device='cuda:0') Meta Loss : tensor(1.6454, device='cuda:0')
Epoch : 2 Iter : 300 VAT_l_f Loss : tensor(2.1023, device='cuda:0') Meta Loss : tensor(1.7108, device='cuda:0')
Epoch : 3 Iter : 0 VAT_l_f Loss : tensor(2.0698, device='cuda:0') Meta Loss : tensor(1.6796, device='cuda:0')
Epoch : 3 Iter : 100 VAT_l_f Loss : tensor(1.7430, device='cuda:0') Meta Loss : tensor(1.6301, device='cuda:0')
Epoch : 3 Iter : 200 VAT_l_f Loss : tensor(1.9903, device='cuda:0') Meta Loss : tensor(1.6305, device='cuda:0')
Epoch : 3 Iter : 300 VAT_l_f Loss : tensor(1.8560, device='cuda:0') Meta Loss : tensor(1.5948, device='cuda:0')
Epoch : 4 Iter : 0 VAT_l_f Loss : tensor(1.9328, device='cuda:0') Meta Loss : tensor(1.5895, device='cuda:0')
Epoch : 4 Iter : 100 VAT_l_f Loss : tensor(2.0629, device='cuda:0') Meta Loss : tensor(1.5767, device='cuda:0')
Epoch : 4 Iter : 200 VAT_l_f Loss : tensor(1.8942, device='cuda:0') Meta Loss : tensor(1.5146, device='cuda:0')
Epoch : 4 Iter : 300 VAT_l_f Loss : tensor(2.0201, device='cuda:0') Meta Loss : tensor(1.4874, device='cuda:0')
Epoch : 5 Iter : 0 VAT_l_f Loss : tensor(1.8054, device='cuda:0') Meta Loss : tensor(1.4577, device='cuda:0')
Epoch : 5 Iter : 100 VAT_l_f Loss : tensor(2.0344, device='cuda:0') Meta Loss : tensor(1.4519, device='cuda:0')
Epoch : 5 Iter : 200 VAT_l_f Loss : tensor(1.8227, device='cuda:0') Meta Loss : tensor(1.3954, device='cuda:0')
Epoch : 5 Iter : 300 VAT_l_f Loss : tensor(1.7938, device='cuda:0') Meta Loss : tensor(1.4269, device='cuda:0')
Train accuracy : tensor(0.4375, device='cuda:0')
Test accuracy : tensor(0.3000, device='cuda:0')
Epoch : 6 Iter : 0 VAT_l_f Loss : tensor(1.5852, device='cuda:0') Meta Loss : tensor(1.2989, device='cuda:0')
Epoch : 6 Iter : 100 VAT_l_f Loss : tensor(1.5773, device='cuda:0') Meta Loss : tensor(1.2588, device='cuda:0')
Epoch : 6 Iter : 200 VAT_l_f Loss : tensor(1.8517, device='cuda:0') Meta Loss : tensor(1.2257, device='cuda:0')
Epoch : 6 Iter : 300 VAT_l_f Loss : tensor(1.8075, device='cuda:0') Meta Loss : tensor(1.2890, device='cuda:0')
Epoch : 7 Iter : 0 VAT_l_f Loss : tensor(1.6177, device='cuda:0') Meta Loss : tensor(1.2944, device='cuda:0')
Epoch : 7 Iter : 100 VAT_l_f Loss : tensor(1.8088, device='cuda:0') Meta Loss : tensor(1.1638, device='cuda:0')
Epoch : 7 Iter : 200 VAT_l_f Loss : tensor(1.7687, device='cuda:0') Meta Loss : tensor(1.1676, device='cuda:0')
Epoch : 7 Iter : 300 VAT_l_f Loss : tensor(1.4477, device='cuda:0') Meta Loss : tensor(1.2673, device='cuda:0')
Epoch : 8 Iter : 0 VAT_l_f Loss : tensor(1.6258, device='cuda:0') Meta Loss : tensor(1.1292, device='cuda:0')
Epoch : 8 Iter : 100 VAT_l_f Loss : tensor(1.6040, device='cuda:0') Meta Loss : tensor(1.1623, device='cuda:0')
Epoch : 8 Iter : 200 VAT_l_f Loss : tensor(1.5730, device='cuda:0') Meta Loss : tensor(1.1386, device='cuda:0')
Epoch : 8 Iter : 300 VAT_l_f Loss : tensor(1.7806, device='cuda:0') Meta Loss : tensor(1.2068, device='cuda:0')
Epoch : 9 Iter : 0 VAT_l_f Loss : tensor(1.7590, device='cuda:0') Meta Loss : tensor(1.1573, device='cuda:0')
Epoch : 9 Iter : 100 VAT_l_f Loss : tensor(1.5912, device='cuda:0') Meta Loss : tensor(1.1086, device='cuda:0')
Epoch : 9 Iter : 200 VAT_l_f Loss : tensor(1.7113, device='cuda:0') Meta Loss : tensor(1.0961, device='cuda:0')
Epoch : 9 Iter : 300 VAT_l_f Loss : tensor(1.7228, device='cuda:0') Meta Loss : tensor(1.0634, device='cuda:0')
Epoch : 10 Iter : 0 VAT_l_f Loss : tensor(1.9122, device='cuda:0') Meta Loss : tensor(1.1417, device='cuda:0')
Epoch : 10 Iter : 100 VAT_l_f Loss : tensor(1.5384, device='cuda:0') Meta Loss : tensor(1.1449, device='cuda:0')
Epoch : 10 Iter : 200 VAT_l_f Loss : tensor(1.3058, device='cuda:0') Meta Loss : tensor(1.1121, device='cuda:0')
Epoch : 10 Iter : 300 VAT_l_f Loss : tensor(1.5256, device='cuda:0') Meta Loss : tensor(1.0157, device='cuda:0')
Train accuracy : tensor(0.5938, device='cuda:0')
Test accuracy : tensor(0.5900, device='cuda:0')
Epoch : 11 Iter : 0 VAT_l_f Loss : tensor(1.4953, device='cuda:0') Meta Loss : tensor(1.0867, device='cuda:0')
Epoch : 11 Iter : 100 VAT_l_f Loss : tensor(1.9175, device='cuda:0') Meta Loss : tensor(1.1485, device='cuda:0')
Epoch : 11 Iter : 200 VAT_l_f Loss : tensor(1.1885, device='cuda:0') Meta Loss : tensor(1.1031, device='cuda:0')
Epoch : 11 Iter : 300 VAT_l_f Loss : tensor(1.2574, device='cuda:0') Meta Loss : tensor(0.9820, device='cuda:0')
Epoch : 12 Iter : 0 VAT_l_f Loss : tensor(1.4537, device='cuda:0') Meta Loss : tensor(1.0449, device='cuda:0')
Epoch : 12 Iter : 100 VAT_l_f Loss : tensor(1.2366, device='cuda:0') Meta Loss : tensor(1.0541, device='cuda:0')
Epoch : 12 Iter : 200 VAT_l_f Loss : tensor(1.3086, device='cuda:0') Meta Loss : tensor(1.0745, device='cuda:0')
Epoch : 12 Iter : 300 VAT_l_f Loss : tensor(1.5030, device='cuda:0') Meta Loss : tensor(0.9894, device='cuda:0')
Epoch : 13 Iter : 0 VAT_l_f Loss : tensor(1.9294, device='cuda:0') Meta Loss : tensor(0.9983, device='cuda:0')
Epoch : 13 Iter : 100 VAT_l_f Loss : tensor(1.2922, device='cuda:0') Meta Loss : tensor(0.8594, device='cuda:0')
Epoch : 13 Iter : 200 VAT_l_f Loss : tensor(1.1530, device='cuda:0') Meta Loss : tensor(1.0189, device='cuda:0')
Epoch : 13 Iter : 300 VAT_l_f Loss : tensor(1.3436, device='cuda:0') Meta Loss : tensor(1.0735, device='cuda:0')
Epoch : 14 Iter : 0 VAT_l_f Loss : tensor(1.5382, device='cuda:0') Meta Loss : tensor(1.0561, device='cuda:0')
Epoch : 14 Iter : 100 VAT_l_f Loss : tensor(1.4423, device='cuda:0') Meta Loss : tensor(1.0028, device='cuda:0')
Epoch : 14 Iter : 200 VAT_l_f Loss : tensor(1.1702, device='cuda:0') Meta Loss : tensor(0.8810, device='cuda:0')
Epoch : 14 Iter : 300 VAT_l_f Loss : tensor(1.4638, device='cuda:0') Meta Loss : tensor(0.9951, device='cuda:0')
Epoch : 15 Iter : 0 VAT_l_f Loss : tensor(1.2035, device='cuda:0') Meta Loss : tensor(0.9372, device='cuda:0')
Epoch : 15 Iter : 100 VAT_l_f Loss : tensor(1.2981, device='cuda:0') Meta Loss : tensor(0.9283, device='cuda:0')
Epoch : 15 Iter : 200 VAT_l_f Loss : tensor(1.3136, device='cuda:0') Meta Loss : tensor(0.8436, device='cuda:0')
Epoch : 15 Iter : 300 VAT_l_f Loss : tensor(1.0883, device='cuda:0') Meta Loss : tensor(1.0325, device='cuda:0')
Train accuracy : tensor(0.6562, device='cuda:0')
