Epoch : 0 Iter : 0 VAT_l_f Loss : tensor(0.0170, device='cuda:0') Meta Loss : tensor(2.2733, device='cuda:0')
Epoch : 0 Iter : 100 VAT_l_f Loss : tensor(4.5769e-05, device='cuda:0') Meta Loss : tensor(2.3013, device='cuda:0')
Epoch : 0 Iter : 200 VAT_l_f Loss : tensor(1.5178e-05, device='cuda:0') Meta Loss : tensor(2.3057, device='cuda:0')
Epoch : 0 Iter : 300 VAT_l_f Loss : tensor(9.7528e-06, device='cuda:0') Meta Loss : tensor(2.2947, device='cuda:0')
Train accuracy : tensor(0.0938, device='cuda:0')
Test accuracy : tensor(0.0900, device='cuda:0')
Epoch : 1 Iter : 0 VAT_l_f Loss : tensor(1.0668e-05, device='cuda:0') Meta Loss : tensor(2.2984, device='cuda:0')
Epoch : 1 Iter : 100 VAT_l_f Loss : tensor(4.3287e-06, device='cuda:0') Meta Loss : tensor(2.2971, device='cuda:0')
Epoch : 1 Iter : 200 VAT_l_f Loss : tensor(5.7150e-06, device='cuda:0') Meta Loss : tensor(2.3040, device='cuda:0')
Epoch : 1 Iter : 300 VAT_l_f Loss : tensor(5.5141e-06, device='cuda:0') Meta Loss : tensor(2.3066, device='cuda:0')
Epoch : 2 Iter : 0 VAT_l_f Loss : tensor(2.3535e-06, device='cuda:0') Meta Loss : tensor(2.3007, device='cuda:0')
Epoch : 2 Iter : 100 VAT_l_f Loss : tensor(2.9673e-06, device='cuda:0') Meta Loss : tensor(2.3077, device='cuda:0')
Epoch : 2 Iter : 200 VAT_l_f Loss : tensor(2.1639e-06, device='cuda:0') Meta Loss : tensor(2.3066, device='cuda:0')
Epoch : 2 Iter : 300 VAT_l_f Loss : tensor(2.3576e-06, device='cuda:0') Meta Loss : tensor(2.2984, device='cuda:0')
Epoch : 3 Iter : 0 VAT_l_f Loss : tensor(1.9872e-06, device='cuda:0') Meta Loss : tensor(2.3024, device='cuda:0')
Epoch : 3 Iter : 100 VAT_l_f Loss : tensor(1.4483e-06, device='cuda:0') Meta Loss : tensor(2.3095, device='cuda:0')
Epoch : 3 Iter : 200 VAT_l_f Loss : tensor(3.7368e-06, device='cuda:0') Meta Loss : tensor(2.2979, device='cuda:0')
Epoch : 3 Iter : 300 VAT_l_f Loss : tensor(9.6755e-06, device='cuda:0') Meta Loss : tensor(2.3131, device='cuda:0')
Epoch : 4 Iter : 0 VAT_l_f Loss : tensor(1.3344e-06, device='cuda:0') Meta Loss : tensor(2.3042, device='cuda:0')
Epoch : 4 Iter : 100 VAT_l_f Loss : tensor(7.1731e-07, device='cuda:0') Meta Loss : tensor(2.2990, device='cuda:0')
Epoch : 4 Iter : 200 VAT_l_f Loss : tensor(7.5149e-07, device='cuda:0') Meta Loss : tensor(2.3006, device='cuda:0')
Epoch : 4 Iter : 300 VAT_l_f Loss : tensor(6.8788e-07, device='cuda:0') Meta Loss : tensor(2.3024, device='cuda:0')
Epoch : 5 Iter : 0 VAT_l_f Loss : tensor(5.5479e-07, device='cuda:0') Meta Loss : tensor(2.2936, device='cuda:0')
Epoch : 5 Iter : 100 VAT_l_f Loss : tensor(6.1381e-07, device='cuda:0') Meta Loss : tensor(2.3044, device='cuda:0')
Epoch : 5 Iter : 200 VAT_l_f Loss : tensor(6.7899e-07, device='cuda:0') Meta Loss : tensor(2.3015, device='cuda:0')
Epoch : 5 Iter : 300 VAT_l_f Loss : tensor(5.5795e-07, device='cuda:0') Meta Loss : tensor(2.3101, device='cuda:0')
Train accuracy : tensor(0., device='cuda:0')
Test accuracy : tensor(0.0700, device='cuda:0')
Epoch : 6 Iter : 0 VAT_l_f Loss : tensor(8.1899e-07, device='cuda:0') Meta Loss : tensor(2.3066, device='cuda:0')
Epoch : 6 Iter : 100 VAT_l_f Loss : tensor(5.7557e-07, device='cuda:0') Meta Loss : tensor(2.2988, device='cuda:0')
Epoch : 6 Iter : 200 VAT_l_f Loss : tensor(4.7957e-07, device='cuda:0') Meta Loss : tensor(2.3012, device='cuda:0')
