Files already downloaded and verified
Files already downloaded and verified
Epoch : 0 Iter : 0 VAT_l_f Loss : tensor(4.6550, device='cuda:0') Meta Loss : tensor(2.3178, device='cuda:0')
Epoch : 0 Iter : 100 VAT_l_f Loss : tensor(4.2979, device='cuda:0') Meta Loss : tensor(1.7961, device='cuda:0')
Epoch : 0 Iter : 200 VAT_l_f Loss : tensor(4.2185, device='cuda:0') Meta Loss : tensor(1.7477, device='cuda:0')
Epoch : 0 Iter : 300 VAT_l_f Loss : tensor(4.1299, device='cuda:0') Meta Loss : tensor(1.7019, device='cuda:0')
Train accuracy : tensor(0.2500, device='cuda:0')
Test accuracy : tensor(0.3500, device='cuda:0')
Epoch : 1 Iter : 0 VAT_l_f Loss : tensor(4.0033, device='cuda:0') Meta Loss : tensor(1.6244, device='cuda:0')
Epoch : 1 Iter : 100 VAT_l_f Loss : tensor(3.8408, device='cuda:0') Meta Loss : tensor(1.6453, device='cuda:0')
Epoch : 1 Iter : 200 VAT_l_f Loss : tensor(3.7065, device='cuda:0') Meta Loss : tensor(1.5887, device='cuda:0')
Epoch : 1 Iter : 300 VAT_l_f Loss : tensor(3.6854, device='cuda:0') Meta Loss : tensor(1.5577, device='cuda:0')
Epoch : 2 Iter : 0 VAT_l_f Loss : tensor(4.0769, device='cuda:0') Meta Loss : tensor(1.6109, device='cuda:0')
Epoch : 2 Iter : 100 VAT_l_f Loss : tensor(3.8755, device='cuda:0') Meta Loss : tensor(1.4886, device='cuda:0')
Epoch : 2 Iter : 200 VAT_l_f Loss : tensor(3.7308, device='cuda:0') Meta Loss : tensor(1.4748, device='cuda:0')
Epoch : 2 Iter : 300 VAT_l_f Loss : tensor(3.7363, device='cuda:0') Meta Loss : tensor(1.5017, device='cuda:0')
Epoch : 3 Iter : 0 VAT_l_f Loss : tensor(3.6398, device='cuda:0') Meta Loss : tensor(1.4513, device='cuda:0')
Epoch : 3 Iter : 100 VAT_l_f Loss : tensor(4.2888, device='cuda:0') Meta Loss : tensor(1.4742, device='cuda:0')
Epoch : 3 Iter : 200 VAT_l_f Loss : tensor(3.3886, device='cuda:0') Meta Loss : tensor(1.3891, device='cuda:0')
Epoch : 3 Iter : 300 VAT_l_f Loss : tensor(3.7377, device='cuda:0') Meta Loss : tensor(1.4619, device='cuda:0')
Epoch : 4 Iter : 0 VAT_l_f Loss : tensor(3.5480, device='cuda:0') Meta Loss : tensor(1.4254, device='cuda:0')
Epoch : 4 Iter : 100 VAT_l_f Loss : tensor(3.8633, device='cuda:0') Meta Loss : tensor(1.4516, device='cuda:0')
