Files already downloaded and verified
Files already downloaded and verified
Epoch : 0 Iter : 0 VAT Loss : tensor(0.6990, device='cuda:0') CE Loss : tensor(2.7805, device='cuda:0')
Epoch : 0 Iter : 100 VAT Loss : tensor(0.1486, device='cuda:0') CE Loss : tensor(1.9103, device='cuda:0')
Epoch : 0 Iter : 200 VAT Loss : tensor(0.1818, device='cuda:0') CE Loss : tensor(2.0456, device='cuda:0')
Epoch : 0 Iter : 300 VAT Loss : tensor(0.2008, device='cuda:0') CE Loss : tensor(1.9127, device='cuda:0')
Train accuracy : tensor(0.2500, device='cuda:0')
Test accuracy : tensor(0.4100, device='cuda:0')
Epoch : 1 Iter : 0 VAT Loss : tensor(0.2192, device='cuda:0') CE Loss : tensor(1.7322, device='cuda:0')
Epoch : 1 Iter : 100 VAT Loss : tensor(0.2039, device='cuda:0') CE Loss : tensor(1.7160, device='cuda:0')
Epoch : 1 Iter : 200 VAT Loss : tensor(0.1608, device='cuda:0') CE Loss : tensor(1.7941, device='cuda:0')
Epoch : 1 Iter : 300 VAT Loss : tensor(0.2775, device='cuda:0') CE Loss : tensor(1.7701, device='cuda:0')
Epoch : 2 Iter : 0 VAT Loss : tensor(0.1933, device='cuda:0') CE Loss : tensor(1.6999, device='cuda:0')
Epoch : 2 Iter : 100 VAT Loss : tensor(0.2912, device='cuda:0') CE Loss : tensor(1.7042, device='cuda:0')
Epoch : 2 Iter : 200 VAT Loss : tensor(0.2808, device='cuda:0') CE Loss : tensor(1.6681, device='cuda:0')
Epoch : 2 Iter : 300 VAT Loss : tensor(0.2980, device='cuda:0') CE Loss : tensor(1.7098, device='cuda:0')
Epoch : 3 Iter : 0 VAT Loss : tensor(0.3288, device='cuda:0') CE Loss : tensor(1.8393, device='cuda:0')
Epoch : 3 Iter : 100 VAT Loss : tensor(0.3704, device='cuda:0') CE Loss : tensor(1.5653, device='cuda:0')
Epoch : 3 Iter : 200 VAT Loss : tensor(0.4982, device='cuda:0') CE Loss : tensor(1.7901, device='cuda:0')
Epoch : 3 Iter : 300 VAT Loss : tensor(0.3201, device='cuda:0') CE Loss : tensor(1.5450, device='cuda:0')
Epoch : 4 Iter : 0 VAT Loss : tensor(0.3714, device='cuda:0') CE Loss : tensor(1.3564, device='cuda:0')
Epoch : 4 Iter : 100 VAT Loss : tensor(0.4077, device='cuda:0') CE Loss : tensor(1.5067, device='cuda:0')
Epoch : 4 Iter : 200 VAT Loss : tensor(0.3427, device='cuda:0') CE Loss : tensor(1.5396, device='cuda:0')
Epoch : 4 Iter : 300 VAT Loss : tensor(0.4428, device='cuda:0') CE Loss : tensor(1.3902, device='cuda:0')
Epoch : 5 Iter : 0 VAT Loss : tensor(0.4255, device='cuda:0') CE Loss : tensor(1.4876, device='cuda:0')
Epoch : 5 Iter : 100 VAT Loss : tensor(0.3966, device='cuda:0') CE Loss : tensor(1.5326, device='cuda:0')
Epoch : 5 Iter : 200 VAT Loss : tensor(0.3881, device='cuda:0') CE Loss : tensor(1.5645, device='cuda:0')
Epoch : 5 Iter : 300 VAT Loss : tensor(0.2083, device='cuda:0') CE Loss : tensor(1.6094, device='cuda:0')
Train accuracy : tensor(0.5938, device='cuda:0')
Test accuracy : tensor(0.5300, device='cuda:0')
Epoch : 6 Iter : 0 VAT Loss : tensor(0.4014, device='cuda:0') CE Loss : tensor(1.6884, device='cuda:0')
Epoch : 6 Iter : 100 VAT Loss : tensor(0.4098, device='cuda:0') CE Loss : tensor(1.5269, device='cuda:0')
Epoch : 6 Iter : 200 VAT Loss : tensor(0.5360, device='cuda:0') CE Loss : tensor(1.1104, device='cuda:0')
Epoch : 6 Iter : 300 VAT Loss : tensor(0.4645, device='cuda:0') CE Loss : tensor(1.4052, device='cuda:0')
Epoch : 7 Iter : 0 VAT Loss : tensor(0.4981, device='cuda:0') CE Loss : tensor(1.1067, device='cuda:0')
Epoch : 7 Iter : 100 VAT Loss : tensor(0.4834, device='cuda:0') CE Loss : tensor(1.1372, device='cuda:0')
Epoch : 7 Iter : 200 VAT Loss : tensor(0.4274, device='cuda:0') CE Loss : tensor(1.2623, device='cuda:0')
Epoch : 7 Iter : 300 VAT Loss : tensor(0.4501, device='cuda:0') CE Loss : tensor(1.1366, device='cuda:0')
Epoch : 8 Iter : 0 VAT Loss : tensor(0.4545, device='cuda:0') CE Loss : tensor(1.0901, device='cuda:0')
Epoch : 8 Iter : 100 VAT Loss : tensor(0.4518, device='cuda:0') CE Loss : tensor(1.1931, device='cuda:0')
Epoch : 8 Iter : 200 VAT Loss : tensor(0.4696, device='cuda:0') CE Loss : tensor(1.0031, device='cuda:0')
Epoch : 8 Iter : 300 VAT Loss : tensor(0.4711, device='cuda:0') CE Loss : tensor(1.1275, device='cuda:0')
Epoch : 9 Iter : 0 VAT Loss : tensor(0.5064, device='cuda:0') CE Loss : tensor(1.2659, device='cuda:0')
Epoch : 9 Iter : 100 VAT Loss : tensor(0.5402, device='cuda:0') CE Loss : tensor(0.9106, device='cuda:0')
Epoch : 9 Iter : 200 VAT Loss : tensor(0.4740, device='cuda:0') CE Loss : tensor(1.2373, device='cuda:0')
Epoch : 9 Iter : 300 VAT Loss : tensor(0.5658, device='cuda:0') CE Loss : tensor(0.9713, device='cuda:0')
Epoch : 10 Iter : 0 VAT Loss : tensor(0.5914, device='cuda:0') CE Loss : tensor(1.0952, device='cuda:0')
Epoch : 10 Iter : 100 VAT Loss : tensor(0.5573, device='cuda:0') CE Loss : tensor(0.9468, device='cuda:0')
Epoch : 10 Iter : 200 VAT Loss : tensor(0.5507, device='cuda:0') CE Loss : tensor(0.9867, device='cuda:0')
Epoch : 10 Iter : 300 VAT Loss : tensor(0.4647, device='cuda:0') CE Loss : tensor(1.0131, device='cuda:0')
Train accuracy : tensor(0.5625, device='cuda:0')
Test accuracy : tensor(0.5900, device='cuda:0')
Epoch : 11 Iter : 0 VAT Loss : tensor(0.5625, device='cuda:0') CE Loss : tensor(0.8873, device='cuda:0')
Epoch : 11 Iter : 100 VAT Loss : tensor(0.5114, device='cuda:0') CE Loss : tensor(0.6820, device='cuda:0')
Epoch : 11 Iter : 200 VAT Loss : tensor(0.6365, device='cuda:0') CE Loss : tensor(0.7184, device='cuda:0')
Epoch : 11 Iter : 300 VAT Loss : tensor(0.5493, device='cuda:0') CE Loss : tensor(1.1730, device='cuda:0')
Epoch : 12 Iter : 0 VAT Loss : tensor(0.5080, device='cuda:0') CE Loss : tensor(1.0752, device='cuda:0')
Epoch : 12 Iter : 100 VAT Loss : tensor(0.5276, device='cuda:0') CE Loss : tensor(0.6762, device='cuda:0')
Epoch : 12 Iter : 200 VAT Loss : tensor(0.5331, device='cuda:0') CE Loss : tensor(0.6928, device='cuda:0')
Epoch : 12 Iter : 300 VAT Loss : tensor(0.5581, device='cuda:0') CE Loss : tensor(0.6910, device='cuda:0')
Epoch : 13 Iter : 0 VAT Loss : tensor(0.6133, device='cuda:0') CE Loss : tensor(0.6976, device='cuda:0')
Epoch : 13 Iter : 100 VAT Loss : tensor(0.6630, device='cuda:0') CE Loss : tensor(0.8946, device='cuda:0')
Epoch : 13 Iter : 200 VAT Loss : tensor(0.5591, device='cuda:0') CE Loss : tensor(0.8269, device='cuda:0')
Epoch : 13 Iter : 300 VAT Loss : tensor(0.5367, device='cuda:0') CE Loss : tensor(0.8893, device='cuda:0')
Epoch : 14 Iter : 0 VAT Loss : tensor(0.5521, device='cuda:0') CE Loss : tensor(0.5800, device='cuda:0')
Epoch : 14 Iter : 100 VAT Loss : tensor(0.5448, device='cuda:0') CE Loss : tensor(0.6630, device='cuda:0')
Epoch : 14 Iter : 200 VAT Loss : tensor(0.5772, device='cuda:0') CE Loss : tensor(1.1763, device='cuda:0')
Epoch : 14 Iter : 300 VAT Loss : tensor(0.5843, device='cuda:0') CE Loss : tensor(0.7211, device='cuda:0')
Epoch : 15 Iter : 0 VAT Loss : tensor(0.5982, device='cuda:0') CE Loss : tensor(0.7382, device='cuda:0')
Epoch : 15 Iter : 100 VAT Loss : tensor(0.6849, device='cuda:0') CE Loss : tensor(0.7007, device='cuda:0')
Epoch : 15 Iter : 200 VAT Loss : tensor(0.6335, device='cuda:0') CE Loss : tensor(0.5537, device='cuda:0')
Epoch : 15 Iter : 300 VAT Loss : tensor(0.6181, device='cuda:0') CE Loss : tensor(0.4797, device='cuda:0')
Train accuracy : tensor(0.8125, device='cuda:0')
Test accuracy : tensor(0.6400, device='cuda:0')
Epoch : 16 Iter : 0 VAT Loss : tensor(0.5848, device='cuda:0') CE Loss : tensor(0.6732, device='cuda:0')
Epoch : 16 Iter : 100 VAT Loss : tensor(0.6724, device='cuda:0') CE Loss : tensor(0.4297, device='cuda:0')
Epoch : 16 Iter : 200 VAT Loss : tensor(0.6766, device='cuda:0') CE Loss : tensor(0.8647, device='cuda:0')
Epoch : 16 Iter : 300 VAT Loss : tensor(0.6321, device='cuda:0') CE Loss : tensor(0.4504, device='cuda:0')
Epoch : 17 Iter : 0 VAT Loss : tensor(0.5949, device='cuda:0') CE Loss : tensor(0.6585, device='cuda:0')
Epoch : 17 Iter : 100 VAT Loss : tensor(0.6753, device='cuda:0') CE Loss : tensor(0.8836, device='cuda:0')
Epoch : 17 Iter : 200 VAT Loss : tensor(0.5925, device='cuda:0') CE Loss : tensor(0.8033, device='cuda:0')
Epoch : 17 Iter : 300 VAT Loss : tensor(0.6706, device='cuda:0') CE Loss : tensor(0.6460, device='cuda:0')
Epoch : 18 Iter : 0 VAT Loss : tensor(0.6387, device='cuda:0') CE Loss : tensor(0.5445, device='cuda:0')
Epoch : 18 Iter : 100 VAT Loss : tensor(0.5992, device='cuda:0') CE Loss : tensor(0.7672, device='cuda:0')
Epoch : 18 Iter : 200 VAT Loss : tensor(0.6695, device='cuda:0') CE Loss : tensor(0.5991, device='cuda:0')
Epoch : 18 Iter : 300 VAT Loss : tensor(0.6393, device='cuda:0') CE Loss : tensor(0.3867, device='cuda:0')
Epoch : 19 Iter : 0 VAT Loss : tensor(0.6424, device='cuda:0') CE Loss : tensor(0.5180, device='cuda:0')
Epoch : 19 Iter : 100 VAT Loss : tensor(0.6009, device='cuda:0') CE Loss : tensor(0.5472, device='cuda:0')
Epoch : 19 Iter : 200 VAT Loss : tensor(0.6189, device='cuda:0') CE Loss : tensor(0.5821, device='cuda:0')
Epoch : 19 Iter : 300 VAT Loss : tensor(0.6611, device='cuda:0') CE Loss : tensor(0.4960, device='cuda:0')
Epoch : 20 Iter : 0 VAT Loss : tensor(0.6483, device='cuda:0') CE Loss : tensor(0.3423, device='cuda:0')
Epoch : 20 Iter : 100 VAT Loss : tensor(0.6277, device='cuda:0') CE Loss : tensor(0.2236, device='cuda:0')
Epoch : 20 Iter : 200 VAT Loss : tensor(0.6400, device='cuda:0') CE Loss : tensor(0.3886, device='cuda:0')
Epoch : 20 Iter : 300 VAT Loss : tensor(0.6749, device='cuda:0') CE Loss : tensor(0.4712, device='cuda:0')
Train accuracy : tensor(0.8750, device='cuda:0')
Test accuracy : tensor(0.5700, device='cuda:0')
Epoch : 21 Iter : 0 VAT Loss : tensor(0.6713, device='cuda:0') CE Loss : tensor(0.3476, device='cuda:0')
Epoch : 21 Iter : 100 VAT Loss : tensor(0.6659, device='cuda:0') CE Loss : tensor(0.4376, device='cuda:0')
Epoch : 21 Iter : 200 VAT Loss : tensor(0.6000, device='cuda:0') CE Loss : tensor(0.3231, device='cuda:0')
Epoch : 21 Iter : 300 VAT Loss : tensor(0.6086, device='cuda:0') CE Loss : tensor(0.2729, device='cuda:0')
Epoch : 22 Iter : 0 VAT Loss : tensor(0.6560, device='cuda:0') CE Loss : tensor(0.3552, device='cuda:0')
Epoch : 22 Iter : 100 VAT Loss : tensor(0.6810, device='cuda:0') CE Loss : tensor(0.3071, device='cuda:0')
Epoch : 22 Iter : 200 VAT Loss : tensor(0.5856, device='cuda:0') CE Loss : tensor(0.7110, device='cuda:0')
Epoch : 22 Iter : 300 VAT Loss : tensor(0.6231, device='cuda:0') CE Loss : tensor(0.2788, device='cuda:0')
Epoch : 23 Iter : 0 VAT Loss : tensor(0.6278, device='cuda:0') CE Loss : tensor(0.5633, device='cuda:0')
Epoch : 23 Iter : 100 VAT Loss : tensor(0.6646, device='cuda:0') CE Loss : tensor(0.1941, device='cuda:0')
Epoch : 23 Iter : 200 VAT Loss : tensor(0.5808, device='cuda:0') CE Loss : tensor(0.2119, device='cuda:0')
Epoch : 23 Iter : 300 VAT Loss : tensor(0.5687, device='cuda:0') CE Loss : tensor(0.3298, device='cuda:0')
Epoch : 24 Iter : 0 VAT Loss : tensor(0.5977, device='cuda:0') CE Loss : tensor(0.2889, device='cuda:0')
Epoch : 24 Iter : 100 VAT Loss : tensor(0.6126, device='cuda:0') CE Loss : tensor(0.2996, device='cuda:0')
Epoch : 24 Iter : 200 VAT Loss : tensor(0.4753, device='cuda:0') CE Loss : tensor(0.3697, device='cuda:0')
Epoch : 24 Iter : 300 VAT Loss : tensor(0.6303, device='cuda:0') CE Loss : tensor(0.2532, device='cuda:0')
Epoch : 25 Iter : 0 VAT Loss : tensor(0.6637, device='cuda:0') CE Loss : tensor(0.2723, device='cuda:0')
Epoch : 25 Iter : 100 VAT Loss : tensor(0.6958, device='cuda:0') CE Loss : tensor(0.2987, device='cuda:0')
Epoch : 25 Iter : 200 VAT Loss : tensor(0.5244, device='cuda:0') CE Loss : tensor(0.5638, device='cuda:0')
Epoch : 25 Iter : 300 VAT Loss : tensor(0.5683, device='cuda:0') CE Loss : tensor(0.1917, device='cuda:0')
Train accuracy : tensor(0.8750, device='cuda:0')
Test accuracy : tensor(0.5600, device='cuda:0')
Epoch : 26 Iter : 0 VAT Loss : tensor(0.6584, device='cuda:0') CE Loss : tensor(0.1502, device='cuda:0')
Epoch : 26 Iter : 100 VAT Loss : tensor(0.5423, device='cuda:0') CE Loss : tensor(0.3798, device='cuda:0')
Epoch : 26 Iter : 200 VAT Loss : tensor(0.5760, device='cuda:0') CE Loss : tensor(0.2755, device='cuda:0')
Epoch : 26 Iter : 300 VAT Loss : tensor(0.5174, device='cuda:0') CE Loss : tensor(0.3380, device='cuda:0')
Epoch : 27 Iter : 0 VAT Loss : tensor(0.5956, device='cuda:0') CE Loss : tensor(0.2180, device='cuda:0')
Epoch : 27 Iter : 100 VAT Loss : tensor(0.5587, device='cuda:0') CE Loss : tensor(0.2820, device='cuda:0')
Epoch : 27 Iter : 200 VAT Loss : tensor(0.5020, device='cuda:0') CE Loss : tensor(0.3037, device='cuda:0')
Epoch : 27 Iter : 300 VAT Loss : tensor(0.5548, device='cuda:0') CE Loss : tensor(0.2367, device='cuda:0')
Epoch : 28 Iter : 0 VAT Loss : tensor(0.5790, device='cuda:0') CE Loss : tensor(0.1910, device='cuda:0')
Epoch : 28 Iter : 100 VAT Loss : tensor(0.6081, device='cuda:0') CE Loss : tensor(0.3524, device='cuda:0')
Epoch : 28 Iter : 200 VAT Loss : tensor(0.6074, device='cuda:0') CE Loss : tensor(0.0931, device='cuda:0')
Epoch : 28 Iter : 300 VAT Loss : tensor(0.7040, device='cuda:0') CE Loss : tensor(0.2746, device='cuda:0')
Epoch : 29 Iter : 0 VAT Loss : tensor(0.5623, device='cuda:0') CE Loss : tensor(0.0956, device='cuda:0')
Epoch : 29 Iter : 100 VAT Loss : tensor(0.5428, device='cuda:0') CE Loss : tensor(0.3194, device='cuda:0')
Epoch : 29 Iter : 200 VAT Loss : tensor(0.6263, device='cuda:0') CE Loss : tensor(0.0643, device='cuda:0')
Epoch : 29 Iter : 300 VAT Loss : tensor(0.6477, device='cuda:0') CE Loss : tensor(0.1599, device='cuda:0')
Epoch : 30 Iter : 0 VAT Loss : tensor(0.7319, device='cuda:0') CE Loss : tensor(0.1653, device='cuda:0')
Epoch : 30 Iter : 100 VAT Loss : tensor(0.5244, device='cuda:0') CE Loss : tensor(0.1392, device='cuda:0')
Epoch : 30 Iter : 200 VAT Loss : tensor(0.4887, device='cuda:0') CE Loss : tensor(0.1497, device='cuda:0')
Epoch : 30 Iter : 300 VAT Loss : tensor(0.5317, device='cuda:0') CE Loss : tensor(0.1893, device='cuda:0')
Train accuracy : tensor(0.8750, device='cuda:0')
Test accuracy : tensor(0.7000, device='cuda:0')
Epoch : 31 Iter : 0 VAT Loss : tensor(0.5924, device='cuda:0') CE Loss : tensor(0.1628, device='cuda:0')
Epoch : 31 Iter : 100 VAT Loss : tensor(0.5398, device='cuda:0') CE Loss : tensor(0.1333, device='cuda:0')
Epoch : 31 Iter : 200 VAT Loss : tensor(0.5921, device='cuda:0') CE Loss : tensor(0.1908, device='cuda:0')
Epoch : 31 Iter : 300 VAT Loss : tensor(0.4907, device='cuda:0') CE Loss : tensor(0.2689, device='cuda:0')
Epoch : 32 Iter : 0 VAT Loss : tensor(0.6889, device='cuda:0') CE Loss : tensor(0.2701, device='cuda:0')
Epoch : 32 Iter : 100 VAT Loss : tensor(0.6164, device='cuda:0') CE Loss : tensor(0.1146, device='cuda:0')
Epoch : 32 Iter : 200 VAT Loss : tensor(0.5142, device='cuda:0') CE Loss : tensor(0.0604, device='cuda:0')
Epoch : 32 Iter : 300 VAT Loss : tensor(0.5658, device='cuda:0') CE Loss : tensor(0.0994, device='cuda:0')
Epoch : 33 Iter : 0 VAT Loss : tensor(0.5293, device='cuda:0') CE Loss : tensor(0.2198, device='cuda:0')
Epoch : 33 Iter : 100 VAT Loss : tensor(0.5722, device='cuda:0') CE Loss : tensor(0.1444, device='cuda:0')
Epoch : 33 Iter : 200 VAT Loss : tensor(0.6051, device='cuda:0') CE Loss : tensor(0.1882, device='cuda:0')
Epoch : 33 Iter : 300 VAT Loss : tensor(0.6087, device='cuda:0') CE Loss : tensor(0.1504, device='cuda:0')
Epoch : 34 Iter : 0 VAT Loss : tensor(0.5938, device='cuda:0') CE Loss : tensor(0.1420, device='cuda:0')
Epoch : 34 Iter : 100 VAT Loss : tensor(0.6226, device='cuda:0') CE Loss : tensor(0.1473, device='cuda:0')
Epoch : 34 Iter : 200 VAT Loss : tensor(0.5084, device='cuda:0') CE Loss : tensor(0.0700, device='cuda:0')
Epoch : 34 Iter : 300 VAT Loss : tensor(0.5895, device='cuda:0') CE Loss : tensor(0.1964, device='cuda:0')
Epoch : 35 Iter : 0 VAT Loss : tensor(0.7365, device='cuda:0') CE Loss : tensor(0.0735, device='cuda:0')
Epoch : 35 Iter : 100 VAT Loss : tensor(0.5211, device='cuda:0') CE Loss : tensor(0.1283, device='cuda:0')
Epoch : 35 Iter : 200 VAT Loss : tensor(0.6311, device='cuda:0') CE Loss : tensor(0.1196, device='cuda:0')
Epoch : 35 Iter : 300 VAT Loss : tensor(0.5748, device='cuda:0') CE Loss : tensor(0.2197, device='cuda:0')
Train accuracy : tensor(1., device='cuda:0')
Test accuracy : tensor(0.6400, device='cuda:0')
Epoch : 36 Iter : 0 VAT Loss : tensor(0.4990, device='cuda:0') CE Loss : tensor(0.1551, device='cuda:0')
Epoch : 36 Iter : 100 VAT Loss : tensor(0.5177, device='cuda:0') CE Loss : tensor(0.0937, device='cuda:0')
Epoch : 36 Iter : 200 VAT Loss : tensor(0.7147, device='cuda:0') CE Loss : tensor(0.0920, device='cuda:0')
Epoch : 36 Iter : 300 VAT Loss : tensor(0.5396, device='cuda:0') CE Loss : tensor(0.0565, device='cuda:0')
Epoch : 37 Iter : 0 VAT Loss : tensor(0.4749, device='cuda:0') CE Loss : tensor(0.0938, device='cuda:0')
Epoch : 37 Iter : 100 VAT Loss : tensor(0.4288, device='cuda:0') CE Loss : tensor(0.0902, device='cuda:0')
Epoch : 37 Iter : 200 VAT Loss : tensor(0.5063, device='cuda:0') CE Loss : tensor(0.2571, device='cuda:0')
Epoch : 37 Iter : 300 VAT Loss : tensor(0.5093, device='cuda:0') CE Loss : tensor(0.2343, device='cuda:0')
Epoch : 38 Iter : 0 VAT Loss : tensor(0.5515, device='cuda:0') CE Loss : tensor(0.1784, device='cuda:0')
Epoch : 38 Iter : 100 VAT Loss : tensor(0.5475, device='cuda:0') CE Loss : tensor(0.0755, device='cuda:0')
Epoch : 38 Iter : 200 VAT Loss : tensor(0.5884, device='cuda:0') CE Loss : tensor(0.0718, device='cuda:0')
Epoch : 38 Iter : 300 VAT Loss : tensor(0.4957, device='cuda:0') CE Loss : tensor(0.1369, device='cuda:0')
Epoch : 39 Iter : 0 VAT Loss : tensor(0.5607, device='cuda:0') CE Loss : tensor(0.0860, device='cuda:0')
Epoch : 39 Iter : 100 VAT Loss : tensor(0.6819, device='cuda:0') CE Loss : tensor(0.0856, device='cuda:0')
Epoch : 39 Iter : 200 VAT Loss : tensor(0.6260, device='cuda:0') CE Loss : tensor(0.1325, device='cuda:0')
Epoch : 39 Iter : 300 VAT Loss : tensor(0.6652, device='cuda:0') CE Loss : tensor(0.0956, device='cuda:0')
Epoch : 40 Iter : 0 VAT Loss : tensor(0.5327, device='cuda:0') CE Loss : tensor(0.0309, device='cuda:0')
Epoch : 40 Iter : 100 VAT Loss : tensor(0.4656, device='cuda:0') CE Loss : tensor(0.0864, device='cuda:0')
Epoch : 40 Iter : 200 VAT Loss : tensor(0.6557, device='cuda:0') CE Loss : tensor(0.0764, device='cuda:0')
Epoch : 40 Iter : 300 VAT Loss : tensor(0.4880, device='cuda:0') CE Loss : tensor(0.0938, device='cuda:0')
Train accuracy : tensor(0.9688, device='cuda:0')
Test accuracy : tensor(0.6400, device='cuda:0')
Epoch : 41 Iter : 0 VAT Loss : tensor(0.5183, device='cuda:0') CE Loss : tensor(0.1583, device='cuda:0')
Epoch : 41 Iter : 100 VAT Loss : tensor(0.5891, device='cuda:0') CE Loss : tensor(0.1160, device='cuda:0')
Epoch : 41 Iter : 200 VAT Loss : tensor(0.5553, device='cuda:0') CE Loss : tensor(0.0649, device='cuda:0')
Epoch : 41 Iter : 300 VAT Loss : tensor(0.6239, device='cuda:0') CE Loss : tensor(0.0303, device='cuda:0')
Epoch : 42 Iter : 0 VAT Loss : tensor(0.5514, device='cuda:0') CE Loss : tensor(0.0268, device='cuda:0')
Epoch : 42 Iter : 100 VAT Loss : tensor(0.5870, device='cuda:0') CE Loss : tensor(0.1030, device='cuda:0')
Epoch : 42 Iter : 200 VAT Loss : tensor(0.6137, device='cuda:0') CE Loss : tensor(0.1793, device='cuda:0')
Epoch : 42 Iter : 300 VAT Loss : tensor(0.5442, device='cuda:0') CE Loss : tensor(0.0494, device='cuda:0')
Epoch : 43 Iter : 0 VAT Loss : tensor(0.4697, device='cuda:0') CE Loss : tensor(0.0541, device='cuda:0')
Epoch : 43 Iter : 100 VAT Loss : tensor(0.5219, device='cuda:0') CE Loss : tensor(0.0827, device='cuda:0')
Epoch : 43 Iter : 200 VAT Loss : tensor(0.5709, device='cuda:0') CE Loss : tensor(0.1245, device='cuda:0')
Epoch : 43 Iter : 300 VAT Loss : tensor(0.5666, device='cuda:0') CE Loss : tensor(0.0486, device='cuda:0')
Epoch : 44 Iter : 0 VAT Loss : tensor(0.5249, device='cuda:0') CE Loss : tensor(0.0707, device='cuda:0')
Epoch : 44 Iter : 100 VAT Loss : tensor(0.5583, device='cuda:0') CE Loss : tensor(0.0665, device='cuda:0')
Epoch : 44 Iter : 200 VAT Loss : tensor(0.4861, device='cuda:0') CE Loss : tensor(0.0507, device='cuda:0')
Epoch : 44 Iter : 300 VAT Loss : tensor(0.5560, device='cuda:0') CE Loss : tensor(0.0459, device='cuda:0')
Epoch : 45 Iter : 0 VAT Loss : tensor(0.7152, device='cuda:0') CE Loss : tensor(0.0935, device='cuda:0')
Epoch : 45 Iter : 100 VAT Loss : tensor(0.4773, device='cuda:0') CE Loss : tensor(0.0859, device='cuda:0')
Epoch : 45 Iter : 200 VAT Loss : tensor(0.5231, device='cuda:0') CE Loss : tensor(0.0991, device='cuda:0')
Epoch : 45 Iter : 300 VAT Loss : tensor(0.6488, device='cuda:0') CE Loss : tensor(0.0637, device='cuda:0')
Train accuracy : tensor(1., device='cuda:0')
Test accuracy : tensor(0.7100, device='cuda:0')
Epoch : 46 Iter : 0 VAT Loss : tensor(0.5692, device='cuda:0') CE Loss : tensor(0.2028, device='cuda:0')
Epoch : 46 Iter : 100 VAT Loss : tensor(0.5849, device='cuda:0') CE Loss : tensor(0.1274, device='cuda:0')
Epoch : 46 Iter : 200 VAT Loss : tensor(0.5415, device='cuda:0') CE Loss : tensor(0.0876, device='cuda:0')
Epoch : 46 Iter : 300 VAT Loss : tensor(0.5078, device='cuda:0') CE Loss : tensor(0.1751, device='cuda:0')
Epoch : 47 Iter : 0 VAT Loss : tensor(0.5044, device='cuda:0') CE Loss : tensor(0.2958, device='cuda:0')
Epoch : 47 Iter : 100 VAT Loss : tensor(0.5573, device='cuda:0') CE Loss : tensor(0.1477, device='cuda:0')
Epoch : 47 Iter : 200 VAT Loss : tensor(0.5722, device='cuda:0') CE Loss : tensor(0.0379, device='cuda:0')
Epoch : 47 Iter : 300 VAT Loss : tensor(0.4356, device='cuda:0') CE Loss : tensor(0.0399, device='cuda:0')
Epoch : 48 Iter : 0 VAT Loss : tensor(0.4093, device='cuda:0') CE Loss : tensor(0.0943, device='cuda:0')
Epoch : 48 Iter : 100 VAT Loss : tensor(0.6077, device='cuda:0') CE Loss : tensor(0.1142, device='cuda:0')
Epoch : 48 Iter : 200 VAT Loss : tensor(0.5047, device='cuda:0') CE Loss : tensor(0.0472, device='cuda:0')
Epoch : 48 Iter : 300 VAT Loss : tensor(0.5543, device='cuda:0') CE Loss : tensor(0.0209, device='cuda:0')
Epoch : 49 Iter : 0 VAT Loss : tensor(0.5244, device='cuda:0') CE Loss : tensor(0.0421, device='cuda:0')
Epoch : 49 Iter : 100 VAT Loss : tensor(0.5136, device='cuda:0') CE Loss : tensor(0.0140, device='cuda:0')
Epoch : 49 Iter : 200 VAT Loss : tensor(0.4544, device='cuda:0') CE Loss : tensor(0.0689, device='cuda:0')
Epoch : 49 Iter : 300 VAT Loss : tensor(0.5857, device='cuda:0') CE Loss : tensor(0.0429, device='cuda:0')
Epoch : 50 Iter : 0 VAT Loss : tensor(0.4878, device='cuda:0') CE Loss : tensor(0.0654, device='cuda:0')
Epoch : 50 Iter : 100 VAT Loss : tensor(0.5777, device='cuda:0') CE Loss : tensor(0.5130, device='cuda:0')
