Extracting data\cifar-10-python.tar.gz to data
Files already downloaded and verified
Apply ZCA whitening
torch.Size([50000, 3, 32, 32])
torch.Size([10000, 3, 32, 32])
Epoch : 0 Iter : 0 VAT Loss : tensor(0.5893, device='cuda:0') CE Loss : tensor(2.6132, device='cuda:0')
Epoch : 0 Iter : 100 VAT Loss : tensor(0.0861, device='cuda:0') CE Loss : tensor(2.2557, device='cuda:0')
Epoch : 0 Iter : 200 VAT Loss : tensor(0.0546, device='cuda:0') CE Loss : tensor(2.2131, device='cuda:0')
Epoch : 0 Iter : 300 VAT Loss : tensor(0.1604, device='cuda:0') CE Loss : tensor(2.0893, device='cuda:0')
Train accuracy : tensor(0.2188, device='cuda:0')
Test accuracy : tensor(0.2000, device='cuda:0')
Epoch : 1 Iter : 0 VAT Loss : tensor(0.1957, device='cuda:0') CE Loss : tensor(1.9954, device='cuda:0')
Epoch : 1 Iter : 100 VAT Loss : tensor(0.2154, device='cuda:0') CE Loss : tensor(1.8010, device='cuda:0')
Epoch : 1 Iter : 200 VAT Loss : tensor(0.1699, device='cuda:0') CE Loss : tensor(1.8979, device='cuda:0')
Epoch : 1 Iter : 300 VAT Loss : tensor(0.2218, device='cuda:0') CE Loss : tensor(1.8210, device='cuda:0')
Epoch : 2 Iter : 0 VAT Loss : tensor(0.2381, device='cuda:0') CE Loss : tensor(1.8440, device='cuda:0')
Epoch : 2 Iter : 100 VAT Loss : tensor(0.2519, device='cuda:0') CE Loss : tensor(1.6485, device='cuda:0')
Epoch : 2 Iter : 200 VAT Loss : tensor(0.2294, device='cuda:0') CE Loss : tensor(1.6869, device='cuda:0')
Epoch : 2 Iter : 300 VAT Loss : tensor(0.2573, device='cuda:0') CE Loss : tensor(1.6896, device='cuda:0')
Epoch : 3 Iter : 0 VAT Loss : tensor(0.2476, device='cuda:0') CE Loss : tensor(1.6622, device='cuda:0')
Epoch : 3 Iter : 100 VAT Loss : tensor(0.2684, device='cuda:0') CE Loss : tensor(1.6989, device='cuda:0')
Epoch : 3 Iter : 200 VAT Loss : tensor(0.2331, device='cuda:0') CE Loss : tensor(1.6129, device='cuda:0')
Epoch : 3 Iter : 300 VAT Loss : tensor(0.3133, device='cuda:0') CE Loss : tensor(1.4963, device='cuda:0')
Epoch : 4 Iter : 0 VAT Loss : tensor(0.3070, device='cuda:0') CE Loss : tensor(1.5700, device='cuda:0')
Epoch : 4 Iter : 100 VAT Loss : tensor(0.2882, device='cuda:0') CE Loss : tensor(1.7106, device='cuda:0')
Epoch : 4 Iter : 200 VAT Loss : tensor(0.2862, device='cuda:0') CE Loss : tensor(1.5510, device='cuda:0')
Epoch : 4 Iter : 300 VAT Loss : tensor(0.3496, device='cuda:0') CE Loss : tensor(1.4810, device='cuda:0')
Epoch : 5 Iter : 0 VAT Loss : tensor(0.3183, device='cuda:0') CE Loss : tensor(1.5183, device='cuda:0')
Epoch : 5 Iter : 100 VAT Loss : tensor(0.2912, device='cuda:0') CE Loss : tensor(1.3695, device='cuda:0')
Epoch : 5 Iter : 200 VAT Loss : tensor(0.4573, device='cuda:0') CE Loss : tensor(1.3288, device='cuda:0')
Epoch : 5 Iter : 300 VAT Loss : tensor(0.2404, device='cuda:0') CE Loss : tensor(1.2795, device='cuda:0')
Train accuracy : tensor(0.5625, device='cuda:0')
Test accuracy : tensor(0.5600, device='cuda:0')
Epoch : 6 Iter : 0 VAT Loss : tensor(0.3820, device='cuda:0') CE Loss : tensor(1.2315, device='cuda:0')
Epoch : 6 Iter : 100 VAT Loss : tensor(0.4764, device='cuda:0') CE Loss : tensor(1.2104, device='cuda:0')
Epoch : 6 Iter : 200 VAT Loss : tensor(0.4260, device='cuda:0') CE Loss : tensor(1.3135, device='cuda:0')
Epoch : 6 Iter : 300 VAT Loss : tensor(0.4986, device='cuda:0') CE Loss : tensor(1.1360, device='cuda:0')
Epoch : 7 Iter : 0 VAT Loss : tensor(0.4968, device='cuda:0') CE Loss : tensor(1.2183, device='cuda:0')
Epoch : 7 Iter : 100 VAT Loss : tensor(0.4033, device='cuda:0') CE Loss : tensor(1.3555, device='cuda:0')
Epoch : 7 Iter : 200 VAT Loss : tensor(0.4520, device='cuda:0') CE Loss : tensor(1.1043, device='cuda:0')
Epoch : 7 Iter : 300 VAT Loss : tensor(0.5460, device='cuda:0') CE Loss : tensor(1.0401, device='cuda:0')
Epoch : 8 Iter : 0 VAT Loss : tensor(0.4190, device='cuda:0') CE Loss : tensor(1.4893, device='cuda:0')
Epoch : 8 Iter : 100 VAT Loss : tensor(0.2768, device='cuda:0') CE Loss : tensor(1.0568, device='cuda:0')
Epoch : 8 Iter : 200 VAT Loss : tensor(0.6584, device='cuda:0') CE Loss : tensor(1.1489, device='cuda:0')
Epoch : 8 Iter : 300 VAT Loss : tensor(0.1655, device='cuda:0') CE Loss : tensor(1.2758, device='cuda:0')
Epoch : 9 Iter : 0 VAT Loss : tensor(0.5233, device='cuda:0') CE Loss : tensor(1.3099, device='cuda:0')
Epoch : 9 Iter : 100 VAT Loss : tensor(0.6341, device='cuda:0') CE Loss : tensor(1.1371, device='cuda:0')
Epoch : 9 Iter : 200 VAT Loss : tensor(0.7097, device='cuda:0') CE Loss : tensor(0.8062, device='cuda:0')
Epoch : 9 Iter : 300 VAT Loss : tensor(0.6343, device='cuda:0') CE Loss : tensor(1.4116, device='cuda:0')
Epoch : 10 Iter : 0 VAT Loss : tensor(0.6848, device='cuda:0') CE Loss : tensor(1.4347, device='cuda:0')
Epoch : 10 Iter : 100 VAT Loss : tensor(0.4738, device='cuda:0') CE Loss : tensor(1.0704, device='cuda:0')
Epoch : 10 Iter : 200 VAT Loss : tensor(0.3993, device='cuda:0') CE Loss : tensor(1.0342, device='cuda:0')
Epoch : 10 Iter : 300 VAT Loss : tensor(0.7696, device='cuda:0') CE Loss : tensor(0.8517, device='cuda:0')
Train accuracy : tensor(0.7500, device='cuda:0')
Test accuracy : tensor(0.6700, device='cuda:0')
Epoch : 11 Iter : 0 VAT Loss : tensor(0.6865, device='cuda:0') CE Loss : tensor(0.8699, device='cuda:0')
Epoch : 11 Iter : 100 VAT Loss : tensor(0.6762, device='cuda:0') CE Loss : tensor(1.1850, device='cuda:0')
Epoch : 11 Iter : 200 VAT Loss : tensor(0.7082, device='cuda:0') CE Loss : tensor(0.9591, device='cuda:0')
Epoch : 11 Iter : 300 VAT Loss : tensor(0.8023, device='cuda:0') CE Loss : tensor(0.8808, device='cuda:0')
Epoch : 12 Iter : 0 VAT Loss : tensor(0.6608, device='cuda:0') CE Loss : tensor(0.7398, device='cuda:0')
Epoch : 12 Iter : 100 VAT Loss : tensor(0.6518, device='cuda:0') CE Loss : tensor(0.6288, device='cuda:0')
Epoch : 12 Iter : 200 VAT Loss : tensor(1.2599, device='cuda:0') CE Loss : tensor(0.6359, device='cuda:0')
Epoch : 12 Iter : 300 VAT Loss : tensor(1.0699, device='cuda:0') CE Loss : tensor(0.6878, device='cuda:0')
Epoch : 13 Iter : 0 VAT Loss : tensor(0.6611, device='cuda:0') CE Loss : tensor(0.6838, device='cuda:0')
Epoch : 13 Iter : 100 VAT Loss : tensor(0.7407, device='cuda:0') CE Loss : tensor(0.6464, device='cuda:0')
Epoch : 13 Iter : 200 VAT Loss : tensor(0.7487, device='cuda:0') CE Loss : tensor(0.9982, device='cuda:0')
Epoch : 13 Iter : 300 VAT Loss : tensor(0.7841, device='cuda:0') CE Loss : tensor(0.7271, device='cuda:0')
Epoch : 14 Iter : 0 VAT Loss : tensor(0.9469, device='cuda:0') CE Loss : tensor(0.5816, device='cuda:0')
Epoch : 14 Iter : 100 VAT Loss : tensor(0.4877, device='cuda:0') CE Loss : tensor(0.7113, device='cuda:0')
Epoch : 14 Iter : 200 VAT Loss : tensor(0.3853, device='cuda:0') CE Loss : tensor(0.8083, device='cuda:0')
Epoch : 14 Iter : 300 VAT Loss : tensor(0.7780, device='cuda:0') CE Loss : tensor(0.6454, device='cuda:0')
Epoch : 15 Iter : 0 VAT Loss : tensor(0.7727, device='cuda:0') CE Loss : tensor(0.7925, device='cuda:0')
Epoch : 15 Iter : 100 VAT Loss : tensor(0.6675, device='cuda:0') CE Loss : tensor(0.8246, device='cuda:0')
Epoch : 15 Iter : 200 VAT Loss : tensor(0.4766, device='cuda:0') CE Loss : tensor(0.8841, device='cuda:0')
Epoch : 15 Iter : 300 VAT Loss : tensor(0.7195, device='cuda:0') CE Loss : tensor(0.5792, device='cuda:0')
Train accuracy : tensor(0.7500, device='cuda:0')
Test accuracy : tensor(0.6600, device='cuda:0')
Epoch : 16 Iter : 0 VAT Loss : tensor(0.8977, device='cuda:0') CE Loss : tensor(0.6030, device='cuda:0')
Epoch : 16 Iter : 100 VAT Loss : tensor(0.6784, device='cuda:0') CE Loss : tensor(0.6317, device='cuda:0')
Epoch : 16 Iter : 200 VAT Loss : tensor(0.7961, device='cuda:0') CE Loss : tensor(0.5689, device='cuda:0')
Epoch : 16 Iter : 300 VAT Loss : tensor(0.7710, device='cuda:0') CE Loss : tensor(0.4553, device='cuda:0')
Epoch : 17 Iter : 0 VAT Loss : tensor(0.7860, device='cuda:0') CE Loss : tensor(0.5172, device='cuda:0')
Epoch : 17 Iter : 100 VAT Loss : tensor(0.8431, device='cuda:0') CE Loss : tensor(0.5023, device='cuda:0')
Epoch : 17 Iter : 200 VAT Loss : tensor(0.7835, device='cuda:0') CE Loss : tensor(0.6393, device='cuda:0')
Epoch : 17 Iter : 300 VAT Loss : tensor(0.8350, device='cuda:0') CE Loss : tensor(0.3919, device='cuda:0')
Epoch : 18 Iter : 0 VAT Loss : tensor(0.8132, device='cuda:0') CE Loss : tensor(0.7977, device='cuda:0')
Epoch : 18 Iter : 100 VAT Loss : tensor(0.8486, device='cuda:0') CE Loss : tensor(0.4792, device='cuda:0')
Epoch : 18 Iter : 200 VAT Loss : tensor(0.8511, device='cuda:0') CE Loss : tensor(0.7021, device='cuda:0')
Epoch : 18 Iter : 300 VAT Loss : tensor(0.9394, device='cuda:0') CE Loss : tensor(0.4099, device='cuda:0')
Epoch : 19 Iter : 0 VAT Loss : tensor(0.8939, device='cuda:0') CE Loss : tensor(0.3053, device='cuda:0')
Epoch : 19 Iter : 100 VAT Loss : tensor(0.7684, device='cuda:0') CE Loss : tensor(0.5569, device='cuda:0')
Epoch : 19 Iter : 200 VAT Loss : tensor(0.9137, device='cuda:0') CE Loss : tensor(0.4796, device='cuda:0')
Epoch : 19 Iter : 300 VAT Loss : tensor(0.7101, device='cuda:0') CE Loss : tensor(0.3725, device='cuda:0')
Epoch : 20 Iter : 0 VAT Loss : tensor(0.8487, device='cuda:0') CE Loss : tensor(0.3638, device='cuda:0')
Epoch : 20 Iter : 100 VAT Loss : tensor(0.8102, device='cuda:0') CE Loss : tensor(0.5298, device='cuda:0')
Epoch : 20 Iter : 200 VAT Loss : tensor(0.7680, device='cuda:0') CE Loss : tensor(0.3734, device='cuda:0')
Epoch : 20 Iter : 300 VAT Loss : tensor(0.7811, device='cuda:0') CE Loss : tensor(0.4893, device='cuda:0')
Train accuracy : tensor(0.6562, device='cuda:0')
Test accuracy : tensor(0.5500, device='cuda:0')
Epoch : 21 Iter : 0 VAT Loss : tensor(1.2132, device='cuda:0') CE Loss : tensor(0.3234, device='cuda:0')
Epoch : 21 Iter : 100 VAT Loss : tensor(0.3922, device='cuda:0') CE Loss : tensor(0.3906, device='cuda:0')
Epoch : 21 Iter : 200 VAT Loss : tensor(0.8680, device='cuda:0') CE Loss : tensor(0.3677, device='cuda:0')
Epoch : 21 Iter : 300 VAT Loss : tensor(0.8410, device='cuda:0') CE Loss : tensor(0.2663, device='cuda:0')
Epoch : 22 Iter : 0 VAT Loss : tensor(0.8434, device='cuda:0') CE Loss : tensor(0.2575, device='cuda:0')
Epoch : 22 Iter : 100 VAT Loss : tensor(0.8649, device='cuda:0') CE Loss : tensor(0.2667, device='cuda:0')
Epoch : 22 Iter : 200 VAT Loss : tensor(0.9123, device='cuda:0') CE Loss : tensor(0.3606, device='cuda:0')
Epoch : 22 Iter : 300 VAT Loss : tensor(0.7138, device='cuda:0') CE Loss : tensor(0.3514, device='cuda:0')
Epoch : 23 Iter : 0 VAT Loss : tensor(0.9261, device='cuda:0') CE Loss : tensor(0.1528, device='cuda:0')
Epoch : 23 Iter : 100 VAT Loss : tensor(0.8458, device='cuda:0') CE Loss : tensor(0.2361, device='cuda:0')
Epoch : 23 Iter : 200 VAT Loss : tensor(0.7313, device='cuda:0') CE Loss : tensor(0.3305, device='cuda:0')
Epoch : 23 Iter : 300 VAT Loss : tensor(0.7420, device='cuda:0') CE Loss : tensor(0.4256, device='cuda:0')
Epoch : 24 Iter : 0 VAT Loss : tensor(0.7846, device='cuda:0') CE Loss : tensor(0.3120, device='cuda:0')
Epoch : 24 Iter : 100 VAT Loss : tensor(0.8820, device='cuda:0') CE Loss : tensor(0.5394, device='cuda:0')
Epoch : 24 Iter : 200 VAT Loss : tensor(1.0101, device='cuda:0') CE Loss : tensor(0.4005, device='cuda:0')
Epoch : 24 Iter : 300 VAT Loss : tensor(0.7583, device='cuda:0') CE Loss : tensor(0.5800, device='cuda:0')
Epoch : 25 Iter : 0 VAT Loss : tensor(0.7787, device='cuda:0') CE Loss : tensor(0.2074, device='cuda:0')
Epoch : 25 Iter : 100 VAT Loss : tensor(0.7655, device='cuda:0') CE Loss : tensor(0.3342, device='cuda:0')
Epoch : 25 Iter : 200 VAT Loss : tensor(0.8329, device='cuda:0') CE Loss : tensor(0.1830, device='cuda:0')
Epoch : 25 Iter : 300 VAT Loss : tensor(0.7992, device='cuda:0') CE Loss : tensor(0.3314, device='cuda:0')
Train accuracy : tensor(0.7812, device='cuda:0')
Test accuracy : tensor(0.6200, device='cuda:0')
Epoch : 26 Iter : 0 VAT Loss : tensor(0.8658, device='cuda:0') CE Loss : tensor(0.3111, device='cuda:0')
Epoch : 26 Iter : 100 VAT Loss : tensor(0.9499, device='cuda:0') CE Loss : tensor(0.2075, device='cuda:0')
Epoch : 26 Iter : 200 VAT Loss : tensor(0.7613, device='cuda:0') CE Loss : tensor(0.1753, device='cuda:0')
Epoch : 26 Iter : 300 VAT Loss : tensor(0.7610, device='cuda:0') CE Loss : tensor(0.3509, device='cuda:0')
Epoch : 27 Iter : 0 VAT Loss : tensor(0.8808, device='cuda:0') CE Loss : tensor(0.1563, device='cuda:0')
Epoch : 27 Iter : 100 VAT Loss : tensor(0.7111, device='cuda:0') CE Loss : tensor(0.2474, device='cuda:0')
Epoch : 27 Iter : 200 VAT Loss : tensor(0.7817, device='cuda:0') CE Loss : tensor(0.1955, device='cuda:0')
Epoch : 27 Iter : 300 VAT Loss : tensor(0.7208, device='cuda:0') CE Loss : tensor(0.7790, device='cuda:0')
Epoch : 28 Iter : 0 VAT Loss : tensor(0.8589, device='cuda:0') CE Loss : tensor(0.2891, device='cuda:0')
Epoch : 28 Iter : 100 VAT Loss : tensor(0.7960, device='cuda:0') CE Loss : tensor(0.2637, device='cuda:0')
Epoch : 28 Iter : 200 VAT Loss : tensor(0.7754, device='cuda:0') CE Loss : tensor(0.1616, device='cuda:0')
Epoch : 28 Iter : 300 VAT Loss : tensor(0.9341, device='cuda:0') CE Loss : tensor(0.3254, device='cuda:0')
Epoch : 29 Iter : 0 VAT Loss : tensor(0.8215, device='cuda:0') CE Loss : tensor(0.3096, device='cuda:0')
Epoch : 29 Iter : 100 VAT Loss : tensor(0.8918, device='cuda:0') CE Loss : tensor(0.1461, device='cuda:0')
Epoch : 29 Iter : 200 VAT Loss : tensor(0.7364, device='cuda:0') CE Loss : tensor(0.1287, device='cuda:0')
Epoch : 29 Iter : 300 VAT Loss : tensor(0.8401, device='cuda:0') CE Loss : tensor(0.1330, device='cuda:0')
Epoch : 30 Iter : 0 VAT Loss : tensor(0.7072, device='cuda:0') CE Loss : tensor(0.1090, device='cuda:0')
Epoch : 30 Iter : 100 VAT Loss : tensor(0.8057, device='cuda:0') CE Loss : tensor(0.3929, device='cuda:0')
Epoch : 30 Iter : 200 VAT Loss : tensor(0.8016, device='cuda:0') CE Loss : tensor(0.2670, device='cuda:0')
Epoch : 30 Iter : 300 VAT Loss : tensor(0.8123, device='cuda:0') CE Loss : tensor(0.1375, device='cuda:0')
Train accuracy : tensor(0.6875, device='cuda:0')
Test accuracy : tensor(0.5900, device='cuda:0')
Epoch : 31 Iter : 0 VAT Loss : tensor(0.8459, device='cuda:0') CE Loss : tensor(0.2015, device='cuda:0')
Epoch : 31 Iter : 100 VAT Loss : tensor(0.6925, device='cuda:0') CE Loss : tensor(0.2083, device='cuda:0')
Epoch : 31 Iter : 200 VAT Loss : tensor(0.9897, device='cuda:0') CE Loss : tensor(0.0961, device='cuda:0')
Epoch : 31 Iter : 300 VAT Loss : tensor(0.8050, device='cuda:0') CE Loss : tensor(0.1831, device='cuda:0')
Epoch : 32 Iter : 0 VAT Loss : tensor(0.8060, device='cuda:0') CE Loss : tensor(0.2094, device='cuda:0')
Epoch : 32 Iter : 100 VAT Loss : tensor(0.8250, device='cuda:0') CE Loss : tensor(0.1611, device='cuda:0')
Epoch : 32 Iter : 200 VAT Loss : tensor(0.8696, device='cuda:0') CE Loss : tensor(0.3250, device='cuda:0')
Epoch : 32 Iter : 300 VAT Loss : tensor(0.7895, device='cuda:0') CE Loss : tensor(0.0857, device='cuda:0')
Epoch : 33 Iter : 0 VAT Loss : tensor(0.7410, device='cuda:0') CE Loss : tensor(0.2309, device='cuda:0')
Epoch : 33 Iter : 100 VAT Loss : tensor(0.8342, device='cuda:0') CE Loss : tensor(0.2623, device='cuda:0')
Epoch : 33 Iter : 200 VAT Loss : tensor(0.7386, device='cuda:0') CE Loss : tensor(0.0675, device='cuda:0')
Epoch : 33 Iter : 300 VAT Loss : tensor(0.8534, device='cuda:0') CE Loss : tensor(0.2191, device='cuda:0')
Epoch : 34 Iter : 0 VAT Loss : tensor(0.6938, device='cuda:0') CE Loss : tensor(0.0851, device='cuda:0')
Epoch : 34 Iter : 100 VAT Loss : tensor(0.8432, device='cuda:0') CE Loss : tensor(0.2482, device='cuda:0')
Epoch : 34 Iter : 200 VAT Loss : tensor(0.8032, device='cuda:0') CE Loss : tensor(0.1349, device='cuda:0')
Epoch : 34 Iter : 300 VAT Loss : tensor(0.7488, device='cuda:0') CE Loss : tensor(0.1550, device='cuda:0')
Epoch : 35 Iter : 0 VAT Loss : tensor(0.8297, device='cuda:0') CE Loss : tensor(0.0685, device='cuda:0')
Epoch : 35 Iter : 100 VAT Loss : tensor(0.7888, device='cuda:0') CE Loss : tensor(0.1511, device='cuda:0')
Epoch : 35 Iter : 200 VAT Loss : tensor(0.8030, device='cuda:0') CE Loss : tensor(0.1744, device='cuda:0')
Epoch : 35 Iter : 300 VAT Loss : tensor(0.7648, device='cuda:0') CE Loss : tensor(0.2078, device='cuda:0')
Train accuracy : tensor(0.7500, device='cuda:0')
Test accuracy : tensor(0.6900, device='cuda:0')
Epoch : 36 Iter : 0 VAT Loss : tensor(0.8157, device='cuda:0') CE Loss : tensor(0.1213, device='cuda:0')
Epoch : 36 Iter : 100 VAT Loss : tensor(0.3901, device='cuda:0') CE Loss : tensor(0.1428, device='cuda:0')
Epoch : 36 Iter : 200 VAT Loss : tensor(0.8792, device='cuda:0') CE Loss : tensor(0.2502, device='cuda:0')
Epoch : 36 Iter : 300 VAT Loss : tensor(0.7030, device='cuda:0') CE Loss : tensor(0.0569, device='cuda:0')
Epoch : 37 Iter : 0 VAT Loss : tensor(0.8546, device='cuda:0') CE Loss : tensor(0.2289, device='cuda:0')
Epoch : 37 Iter : 100 VAT Loss : tensor(0.7646, device='cuda:0') CE Loss : tensor(0.1371, device='cuda:0')
Epoch : 37 Iter : 200 VAT Loss : tensor(0.7552, device='cuda:0') CE Loss : tensor(0.0611, device='cuda:0')
